#Teff log_g M_div_h F606W F814W 
6421.0526 2.1052632 0.071428571 0.194 0.566
6421.0526 2.1052632 0.5 0.23 0.6
6684.2105 2.1052632 -2.5 0.089 0.42
6684.2105 2.1052632 -2.0714286 0.098 0.431
6684.2105 2.1052632 -1.6428571 0.11 0.44
6684.2105 2.1052632 -1.2142857 0.123 0.451
6684.2105 2.1052632 -0.78571429 0.143 0.467
6684.2105 2.1052632 -0.35714286 0.168 0.488
6684.2105 2.1052632 0.071428571 0.2 0.516
7473.6842 0 -1.2142857 -0.042 0.229
6684.2105 2.1052632 0.5 0.235 0.55
3263.1579 0 -0.35714286 -3.266 -0.134
6947.3684 2.1052632 -2.5 0.091 0.369
6947.3684 2.1052632 -2.0714286 0.106 0.384
6947.3684 2.1052632 -1.6428571 0.118 0.394
6947.3684 2.1052632 -1.2142857 0.129 0.403
6947.3684 2.1052632 -0.78571429 0.148 0.417
6947.3684 2.1052632 -0.35714286 0.168 0.435
6947.3684 2.1052632 0.071428571 0.197 0.46
6947.3684 2.1052632 0.5 0.231 0.491
7210.5263 2.1052632 -2.5 0.093 0.32
7473.6842 0 -0.78571429 -0.024 0.248
7210.5263 2.1052632 -2.0714286 0.105 0.333
7210.5263 2.1052632 -1.6428571 0.114 0.34
7210.5263 2.1052632 -1.2142857 0.124 0.347
7210.5263 2.1052632 -0.78571429 0.139 0.359
7210.5263 2.1052632 -0.35714286 0.158 0.375
7210.5263 2.1052632 0.071428571 0.184 0.397
7210.5263 2.1052632 0.5 0.217 0.426
7473.6842 2.1052632 -2.5 0.092 0.273
7473.6842 2.1052632 -2.0714286 0.091 0.274
7473.6842 2.1052632 -1.6428571 0.098 0.279
7473.6842 0 -0.35714286 0.073 0.3
7473.6842 2.1052632 -1.2142857 0.108 0.288
7473.6842 2.1052632 -0.78571429 0.122 0.299
7473.6842 2.1052632 -0.35714286 0.144 0.315
7473.6842 2.1052632 0.071428571 0.171 0.339
7473.6842 2.1052632 0.5 0.204 0.37
7736.8421 2.1052632 -2.5 0.082 0.223
7736.8421 2.1052632 -2.0714286 0.082 0.223
7736.8421 2.1052632 -1.6428571 0.091 0.23
7736.8421 2.1052632 -1.2142857 0.102 0.239
7736.8421 2.1052632 -0.78571429 0.115 0.25
7473.6842 0 0.071428571 0.164 0.417
7736.8421 2.1052632 -0.35714286 0.134 0.266
7736.8421 2.1052632 0.071428571 0.156 0.285
7736.8421 2.1052632 0.5 0.182 0.309
8000 2.1052632 -2.5 0.062 0.16
8000 2.1052632 -2.0714286 0.068 0.163
8000 2.1052632 -1.6428571 0.077 0.171
8000 2.1052632 -1.2142857 0.092 0.181
8000 2.1052632 -0.78571429 0.108 0.193
8000 2.1052632 -0.35714286 0.126 0.209
8000 2.1052632 0.071428571 0.141 0.227
7473.6842 0 0.5 0.292 0.55
8000 2.1052632 0.5 0.157 0.242
3000 2.3684211 -2.5 -1.273 0.474
3000 2.3684211 -2.0714286 -1.346 0.445
3000 2.3684211 -1.6428571 -1.476 0.436
3000 2.3684211 -1.2142857 -1.796 0.413
3000 2.3684211 -0.78571429 -2.428 0.309
3000 2.3684211 -0.35714286 -3.225 0.069
3000 2.3684211 0.071428571 -3.73 -0.238
3000 2.3684211 0.5 -3.971 -0.563
3263.1579 2.3684211 -2.5 -0.984 0.52
3263.1579 2.3684211 -2.0714286 -1.015 0.503
7736.8421 0 -2.5 0.48 0.57
3263.1579 2.3684211 -1.6428571 -1.083 0.494
3263.1579 2.3684211 -1.2142857 -1.305 0.462
3263.1579 2.3684211 -0.78571429 -1.783 0.37
