# Isochrone by Pietrinferni - Cassisi - Salaris - Castelli 2006 ::: Standard Model 
#===========================================================================================================================
# Scaled solar model & transformations for ACS            (Castelli 2004)
#===========================================================================================================================
#  Np= 2000   [M/H]=-1.790   Z= 0.0003   Y=0.245   t(Gyr)= 13.3200    normalized:  3  2 2006 
#===========================================================================================================================
#     (M/Mo)in       (M/Mo)     log(L/Lo)  logTe     F435W   F475W   F555W   F606W   F625W   F775W   F814W
#===========================================================================================================================
   0.6200663164   0.6200663164  -0.54841  3.74056    6.941   6.696   6.333   6.134   5.940   5.549   5.500
   0.6208029195   0.6208029195  -0.54506  3.74101    6.930   6.686   6.324   6.125   5.931   5.541   5.493
   0.6215395227   0.6215395227  -0.54171  3.74146    6.919   6.676   6.315   6.116   5.923   5.534   5.486
   0.6222761259   0.6222761259  -0.53836  3.74191    6.908   6.666   6.306   6.108   5.915   5.527   5.478
   0.6230127290   0.6230127290  -0.53500  3.74236    6.897   6.655   6.296   6.099   5.907   5.519   5.471
   0.6237493322   0.6237493322  -0.53164  3.74281    6.886   6.645   6.287   6.091   5.899   5.512   5.464
   0.6244859354   0.6244859354  -0.52828  3.74326    6.875   6.635   6.278   6.082   5.890   5.504   5.456
   0.6252225385   0.6252225385  -0.52492  3.74371    6.864   6.625   6.269   6.074   5.882   5.497   5.449
   0.6259591417   0.6259591417  -0.52155  3.74416    6.853   6.615   6.260   6.065   5.874   5.489   5.442
   0.6266957449   0.6266957449  -0.51818  3.74461    6.842   6.605   6.251   6.056   5.866   5.482   5.434
   0.6274323480   0.6274323480  -0.51481  3.74505    6.831   6.595   6.242   6.048   5.858   5.474   5.427
   0.6281689512   0.6281689512  -0.51143  3.74550    6.820   6.585   6.233   6.039   5.849   5.467   5.419
   0.6289055544   0.6289055544  -0.50806  3.74595    6.809   6.575   6.224   6.031   5.841   5.459   5.412
   0.6296421575   0.6296421575  -0.50468  3.74639    6.798   6.565   6.215   6.022   5.833   5.452   5.405
   0.6303787607   0.6303787607  -0.50129  3.74684    6.787   6.555   6.206   6.014   5.825   5.444   5.397
   0.6311153639   0.6311153639  -0.49791  3.74729    6.776   6.545   6.197   6.005   5.817   5.437   5.390
   0.6318519670   0.6318519670  -0.49452  3.74773    6.765   6.535   6.188   5.997   5.808   5.429   5.383
   0.6325885702   0.6325885702  -0.49113  3.74818    6.754   6.525   6.179   5.988   5.800   5.422   5.375
   0.6333251734   0.6333251734  -0.48774  3.74862    6.743   6.515   6.170   5.979   5.792   5.414   5.368
   0.6340617765   0.6340617765  -0.48434  3.74907    6.732   6.505   6.161   5.971   5.784   5.407   5.360
   0.6347983797   0.6347983797  -0.48093  3.74952    6.721   6.495   6.152   5.962   5.776   5.399   5.353
   0.6355349829   0.6355349829  -0.47753  3.74996    6.710   6.485   6.143   5.954   5.767   5.392   5.346
   0.6362715861   0.6362715861  -0.47412  3.75041    6.699   6.475   6.134   5.945   5.759   5.384   5.338
   0.6370081892   0.6370081892  -0.47071  3.75085    6.688   6.465   6.125   5.936   5.751   5.377   5.331
   0.6377447924   0.6377447924  -0.46729  3.75129    6.677   6.455   6.116   5.928   5.743   5.369   5.323
   0.6384813956   0.6384813956  -0.46387  3.75174    6.666   6.445   6.107   5.919   5.734   5.362   5.316
   0.6392179987   0.6392179987  -0.46045  3.75218    6.655   6.435   6.098   5.911   5.726   5.354   5.308
   0.6399546019   0.6399546019  -0.45702  3.75263    6.644   6.425   6.089   5.902   5.718   5.347   5.301
   0.6406912051   0.6406912051  -0.45360  3.75307    6.633   6.415   6.080   5.893   5.710   5.339   5.293
   0.6414278082   0.6414278082  -0.45016  3.75351    6.622   6.405   6.071   5.885   5.701   5.332   5.286
   0.6421644114   0.6421644114  -0.44673  3.75395    6.611   6.395   6.062   5.876   5.693   5.324   5.278
   0.6429010146   0.6429010146  -0.44328  3.75440    6.600   6.384   6.053   5.867   5.685   5.316   5.271
   0.6436376177   0.6436376177  -0.43984  3.75484    6.589   6.374   6.044   5.859   5.676   5.309   5.263
   0.6443742209   0.6443742209  -0.43639  3.75528    6.579   6.364   6.035   5.850   5.668   5.301   5.256
   0.6451108241   0.6451108241  -0.43294  3.75572    6.568   6.354   6.025   5.842   5.660   5.294   5.248
   0.6458474272   0.6458474272  -0.42948  3.75616    6.557   6.344   6.016   5.833   5.652   5.286   5.241
   0.6465840304   0.6465840304  -0.42602  3.75660    6.546   6.334   6.007   5.824   5.643   5.278   5.233
   0.6485194210   0.6485194210  -0.41690  3.75776    6.517   6.308   5.983   5.801   5.621   5.258   5.214
   0.6504548115   0.6504548115  -0.40775  3.75892    6.488   6.281   5.959   5.778   5.599   5.238   5.194
   0.6523902021   0.6523902021  -0.39857  3.76007    6.460   6.255   5.935   5.755   5.577   5.218   5.174
   0.6543255926   0.6543255926  -0.38937  3.76122    6.431   6.228   5.911   5.732   5.555   5.198   5.154
   0.6562609832   0.6562609832  -0.38011  3.76237    6.402   6.202   5.887   5.709   5.533   5.177   5.134
   0.6581963737   0.6581963737  -0.37083  3.76352    6.374   6.175   5.862   5.686   5.511   5.157   5.113
   0.6601317643   0.6601317643  -0.36152  3.76466    6.345   6.149   5.838   5.663   5.488   5.136   5.093
   0.6620671548   0.6620671548  -0.35217  3.76580    6.316   6.122   5.814   5.640   5.466   5.115   5.073
   0.6640025454   0.6640025454  -0.34277  3.76694    6.287   6.095   5.789   5.616   5.443   5.094   5.052
   0.6659379359   0.6659379359  -0.33332  3.76807    6.258   6.068   5.764   5.592   5.421   5.074   5.032
   0.6678733265   0.6678733265  -0.32384  3.76921    6.230   6.041   5.740   5.569   5.398   5.053   5.011
   0.6698087170   0.6698087170  -0.31432  3.77033    6.201   6.014   5.715   5.545   5.375   5.031   4.990
   0.6717441076   0.6717441076  -0.30476  3.77146    6.172   5.987   5.690   5.521   5.352   5.010   4.970
   0.6736794981   0.6736794981  -0.29515  3.77258    6.143   5.960   5.665   5.497   5.329   4.989   4.949
   0.6756148887   0.6756148887  -0.28547  3.77370    6.114   5.933   5.640   5.473   5.306   4.967   4.927
   0.6775502792   0.6775502792  -0.27574  3.77481    6.085   5.906   5.615   5.449   5.283   4.946   4.906
   0.6794856698   0.6794856698  -0.26596  3.77592    6.056   5.878   5.589   5.425   5.259   4.924   4.885
   0.6814210603   0.6814210603  -0.25612  3.77702    6.027   5.851   5.564   5.400   5.235   4.902   4.863
